CHEMBL102358	DB13297
CHEMBL1071	DB00991
CHEMBL109367	DB02473
CHEMBL1230806	DB02120
CHEMBL1274	DB00665
CHEMBL1399702	DB04440
CHEMBL1444	DB01006
CHEMBL145347	DB11423
CHEMBL1477	DB00439
CHEMBL1679	DB00650
CHEMBL170077	DB07816
CHEMBL173373	DB05869
CHEMBL17860	DB04948
CHEMBL188442	DB01720
CHEMBL204021	DB06311
CHEMBL2111108	DB06408
CHEMBL231779	DB06605
CHEMBL24787	DB08725
CHEMBL251634	DB08971
CHEMBL261454	DB03921
CHEMBL279433	DB07227
CHEMBL279786	DB03880
CHEMBL286398	DB01839
CHEMBL286796	DB11285
CHEMBL289556	DB00886
CHEMBL292707	DB08955
CHEMBL298827	DB08626
CHEMBL304087	DB04862
CHEMBL312862	DB13318
CHEMBL326564	DB08436
CHEMBL34076	DB03826
CHEMBL346455	DB04020
CHEMBL348475	DB06240
CHEMBL353955	DB02256
CHEMBL356512	DB01163
CHEMBL363847	DB07965
CHEMBL36633	DB13601
CHEMBL398428	DB08072
CHEMBL414883	DB03758
CHEMBL417844	DB04188
CHEMBL42710	DB09086
CHEMBL43184	DB11561
CHEMBL443030	DB02804
CHEMBL452461	DB12365
CHEMBL46486	DB03095
CHEMBL47590	DB04407
CHEMBL48046	DB04424
CHEMBL559147	DB08756
CHEMBL566315	DB05990
CHEMBL600	DB06151
CHEMBL63323	DB04552
CHEMBL64676	DB04470
CHEMBL697	DB05246
CHEMBL87543	DB13653
CHEMBL89363	DB08577
CHEMBL946	DB00719
CHEMBL970	DB00801
CHEMBL255044	DB06623
CHEMBL434492	DB11623
CHEMBL451721	DB06926
CHEMBL74074	DB03171
CHEMBL1625	DB01428
CHEMBL374731	DB01265
CHEMBL458767	DB04466
CHEMBL458875	DB06683
CHEMBL484785	DB05219
CHEMBL489586	DB08460
CHEMBL491019	DB08459
CHEMBL499017	DB05377
CHEMBL513922	DB12666
CHEMBL591429	DB13048
CHEMBL598172	DB12555
CHEMBL601773	DB13345
CHEMBL1213083	DB06831
CHEMBL1214827	DB06306
CHEMBL1222151	DB07924
CHEMBL1222152	DB03989
CHEMBL1222313	DB07927
CHEMBL1232207	DB02174
CHEMBL1332032	DB08814
CHEMBL1929396	DB12417
CHEMBL1946186	DB13466
CHEMBL1951032	DB12084
CHEMBL3623004	DB15138
CHEMBL1570266	DB11379
CHEMBL1852688	DB11886
CHEMBL3092562	DB14885
CHEMBL2387408	DB11729
CHEMBL3544978	DB12817
CHEMBL3663929	DB12036
CHEMBL2028019	DB06016
CHEMBL431701	DB09298
CHEMBL1201387	DB14209
CHEMBL269671	DB13132
CHEMBL2042122	DB09151
CHEMBL1201391	DB14714
CHEMBL1233797	DB02929
CHEMBL1236196	DB01851
CHEMBL1621597	DB00332
CHEMBL1897738	DB09006