CHEMBL100086	compound/9845261
CHEMBL100246	compound/21053919
CHEMBL100246	compound/21053920
CHEMBL100365	compound/15065163
CHEMBL100757	compound/10530110
CHEMBL100757	substance/15556099
CHEMBL100784	compound/13936979
CHEMBL100895	compound/44332539
CHEMBL10092	compound/44266537
CHEMBL100950	compound/21310753
CHEMBL101006	compound/10389257
CHEMBL101006	substance/15404839
CHEMBL101201	compound/44332100
CHEMBL101285	compound/44332581
CHEMBL101360	compound/13456366
CHEMBL101454	compound/9905428
CHEMBL101454	substance/14875036
CHEMBL101609	compound/9799442
CHEMBL101609	substance/14755245
CHEMBL101721	compound/14750055
CHEMBL101775	compound/10025556
CHEMBL101775	substance/15007113
CHEMBL101993	compound/15341059
CHEMBL102307	compound/11799974
CHEMBL102307	substance/16913419
CHEMBL102358	compound/1550874
CHEMBL102358	substance/16300539
CHEMBL102407	compound/10514520
CHEMBL102407	substance/15539977
CHEMBL102483	compound/11186983
CHEMBL102483	substance/16267950
CHEMBL102705	compound/10767400
CHEMBL102705	substance/15804986
CHEMBL10275	compound/12789594
CHEMBL102900	compound/11461888
CHEMBL102900	substance/16561738
CHEMBL102913	compound/15710864
CHEMBL10306	compound/13391688
CHEMBL103079	compound/11628491
CHEMBL103079	substance/131479913
CHEMBL10317	compound/10595005
CHEMBL10317	substance/15624196
CHEMBL103325	compound/10649726
CHEMBL103325	substance/15681325
CHEMBL103341	compound/44332325
CHEMBL103415	compound/10723137
CHEMBL103415	substance/15758290
CHEMBL103498	compound/9834390
CHEMBL103498	substance/14794464
CHEMBL103669	compound/15093870
CHEMBL103802	compound/10578334
CHEMBL103802	substance/15606481
CHEMBL10388	compound/44266628
CHEMBL104068	compound/135619955
CHEMBL104077	compound/44335069
CHEMBL104153	compound/5327896
CHEMBL104153	substance/15752530
CHEMBL104155	compound/44335678
CHEMBL104297	compound/54695867
CHEMBL104297	substance/15196823
CHEMBL104446	compound/44334963
CHEMBL104525	compound/454940
CHEMBL104625	compound/15917977
CHEMBL104731	compound/44335666
CHEMBL10482	compound/44266712
CHEMBL104970	compound/4713329
CHEMBL104970	substance/15581552
CHEMBL105006	compound/12752285
CHEMBL105035	compound/10712718
CHEMBL105035	substance/15747766
CHEMBL105155	compound/44334764
CHEMBL105301	compound/460216
CHEMBL105301	substance/16873756
CHEMBL105381	compound/10802941
CHEMBL105381	substance/15842593
CHEMBL105452	compound/479626
CHEMBL105452	substance/15649739
CHEMBL105482	compound/9994087
CHEMBL105482	substance/14973189
CHEMBL10579	compound/135794759
CHEMBL1058	compound/76151
CHEMBL1058	substance/16155758
CHEMBL105838	compound/10505017
CHEMBL105838	substance/15530024
CHEMBL105917	compound/11795092
CHEMBL105917	substance/16908443
CHEMBL10598	compound/455456
CHEMBL10598	substance/15092559
CHEMBL10605	compound/12789599
CHEMBL10612	compound/10305066
CHEMBL10612	substance/15311774
CHEMBL106167	compound/44335903
CHEMBL106172	compound/5327529
CHEMBL106172	substance/15089025
CHEMBL106358	compound/14964727
CHEMBL106505	compound/11015312
CHEMBL106505	substance/16076970
CHEMBL106686	compound/44336697
CHEMBL106916	compound/9952003
CHEMBL106916	substance/14927295