CHEMBL1203357	7069724
CHEMBL12665	7131490
CHEMBL119555	6317860
CHEMBL11688	2319555
CHEMBL113062	2002464
CHEMBL133434	8426367
CHEMBL1161228	10743947
CHEMBL126797	14592471
CHEMBL121793	15993066
CHEMBL117385	14505653
CHEMBL109367	19385614
CHEMBL1444	16680159
CHEMBL1477	16680159
CHEMBL1444	27770735
CHEMBL1203357	722740
CHEMBL127584	6767030
CHEMBL13673	6754932
CHEMBL14427	6128416
CHEMBL127248	6402597
CHEMBL138947	6708046
CHEMBL1160067	4067990
CHEMBL10579	2991519
CHEMBL11048	2991519
CHEMBL11342	2991519
CHEMBL102358	3965710
CHEMBL122327	3950916
CHEMBL143346	3546688
CHEMBL1203622	2435902
CHEMBL147393	2894465
CHEMBL13869	2836588
CHEMBL1202554	3397990
CHEMBL1203611	2153822
CHEMBL122225	1433188
CHEMBL135724	1447734
CHEMBL1203213	1548678
CHEMBL109191	1507207
CHEMBL143330	1469690
CHEMBL119177	1404231
CHEMBL126499	8254620
CHEMBL129590	8254620
CHEMBL140914	7799407
CHEMBL116509	7932578
CHEMBL134949	7990117
CHEMBL105301	7932531
CHEMBL106172	7932531
CHEMBL129545	7966158
CHEMBL129263	7990111
CHEMBL13857	8164253
CHEMBL145934	8544181
CHEMBL112363	7830275
CHEMBL121433	7658454
CHEMBL122494	7562906
CHEMBL105917	8759636
CHEMBL137623	8863811
CHEMBL137237	8863807
CHEMBL12404	8676343
CHEMBL145094	8960545
CHEMBL115167	8765521
CHEMBL119691	8784444
CHEMBL123596	8809159
CHEMBL120541	8558523
CHEMBL110668	8759634
CHEMBL134343	9435894
CHEMBL135137	9435894
CHEMBL135495	9435894
CHEMBL129966	9046328
CHEMBL141064	9871625
CHEMBL112515	9703475
CHEMBL114716	9703475
CHEMBL115673	9719591
CHEMBL139468	9784110
CHEMBL117968	9719601
CHEMBL144490	9836612
CHEMBL147370	9836612
CHEMBL149229	9836626
CHEMBL138704	9484495
CHEMBL111255	10464010
CHEMBL134268	10091694
CHEMBL1226	9986714
CHEMBL14864	10737744
CHEMBL14162	10737743
CHEMBL105838	10956224
CHEMBL110465	10956224
CHEMBL128006	11052793
CHEMBL145554	11123988
CHEMBL105035	10956214
CHEMBL105381	10956215
CHEMBL130835	11708906
CHEMBL134646	11708925
CHEMBL134925	11708925
CHEMBL135075	11708926
CHEMBL126082	11462978
CHEMBL1204203	11170628
CHEMBL105381	11563927
CHEMBL112653	11563927
CHEMBL1203246	11689078
CHEMBL100895	12270191
CHEMBL100246	11738566
CHEMBL115919	12139458
CHEMBL118382	12166933